,trial_type,trial_index,time_elapsed,internal_node_id,rt,response,success,stimulus,start_time,start_time_unix,item_width_mm,item_height_mm,item_width_px,px2mm,view_dist_mm,item_width_deg,px2deg,win_width_deg,win_height_deg,trialType,correct,participantID,criticalSpacing,criticalSpacing_deg,isLeft,isUp,isEccen4,eccentricity,eccentricity_deg,viewingDistanceMean,critical_spacing,critical_spacing_deg,crowding_session,correctRate,viewDistance_1,viewDistance_2,viewDistance_3,age
0,pavlovia,0,2,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
2,fullscreen,2,15401,0.0-2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
3,html-keyboard-response,3,22184,0.0-3.0,6782.399999976158, ,,"<h1>Consent Form</h1>
       <p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at stanfordpsych251@gmail.com. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation by closing the window, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>
       <p>Press <b>any key</b> to start the experiment!</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
4,html-keyboard-response,4,25368,0.0-4.0,3183.3000000715256, ,,"<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>",30/11/2021 23:54:50,1638338090879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
5,html-keyboard-response,5,42905,0.0-5.0,17535.799999952316,arrowdown,,"<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
6,virtual-chinrest,6,217169,0.0-6.0,174263.0,,,,,,85.6,53.98,342.0,4.0,431.3,11.334370518436412,30.17370920102753,63.6315537877132,35.79274900558867,,,,,,,,,,,,,,,,,,,23
7,html-keyboard-response,7,265224,0.0-7.0,48054.89999997616,arrowdown,,"
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
8,html-keyboard-response,8,265736,0.0-8.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=NaN r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=NaN r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,555.4549860785712 768.8525896910284,555.4549860785712"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
9,html-keyboard-response,9,265891,0.0-9.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1020.8 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,555.4549860785712 1016.4525896910283,555.4549860785712"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,23
10,html-keyboard-response,10,267208,0.0-10.0,1316.399999976158,arrowdown,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,555.4549860785712 1016.4525896910283,555.4549860785712"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,yhHDMorbvTEWkI34,80.47,2.6,False,False,True,123.8,4.0,444.12,,,,,,,,23
11,html-keyboard-response,11,267717,0.0-11.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,555.4549860785712 1016.4525896910283,555.4549860785712"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
12,html-keyboard-response,12,267872,0.0-12.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1020.8 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,524.5450139214288 1016.4525896910283,524.5450139214288"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,23
13,html-keyboard-response,13,268168,0.0-13.0,295.10000002384186,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,524.5450139214288 1016.4525896910283,524.5450139214288"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,yhHDMorbvTEWkI34,80.47,2.6,False,True,True,123.8,4.0,444.12,,,,,,,,23
14,html-keyboard-response,14,268679,0.0-14.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,524.5450139214288 1016.4525896910283,524.5450139214288"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
15,html-keyboard-response,15,268834,0.0-15.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1020.8 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,524.5450139214288 1016.4525896910283,524.5450139214288"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,23
16,html-keyboard-response,16,269080,0.0-16.0,245.19999992847443,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,524.5450139214288 1016.4525896910283,524.5450139214288"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,yhHDMorbvTEWkI34,80.47,2.6,False,True,True,123.8,4.0,444.12,,,,,,,,23
17,html-keyboard-response,17,269595,0.0-17.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=1101.27 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=940.3299999999999 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=1020.8 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""1020.8,540 1025.1474103089718,524.5450139214288 1016.4525896910283,524.5450139214288"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
18,html-keyboard-response,18,269750,0.0-18.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=773.2 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=846.3545454545455 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=613.1545454545454 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=700.0454545454546 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=466.8454545454546 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,524.5450139214288 768.8525896910284,524.5450139214288"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,23
19,html-keyboard-response,19,270184,0.0-19.0,433.8999999761581,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=846.3545454545455 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=613.1545454545454 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=700.0454545454546 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=466.8454545454546 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,524.5450139214288 768.8525896910284,524.5450139214288"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,yhHDMorbvTEWkI34,73.15454545454544,2.36,True,True,True,123.8,4.0,444.12,,,,,,,,23
20,html-keyboard-response,20,270697,0.0-20.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=846.3545454545455 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=613.1545454545454 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=700.0454545454546 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=466.8454545454546 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,524.5450139214288 768.8525896910284,524.5450139214288"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
21,html-keyboard-response,21,270853,0.0-21.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=773.2 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=839.704132231405 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=606.5041322314049 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=706.6958677685951 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=473.4958677685951 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,524.5450139214288 768.8525896910284,524.5450139214288"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,23
22,html-keyboard-response,22,271128,0.0-22.0,274.8000000715256,arrowup,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=839.704132231405 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=606.5041322314049 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=706.6958677685951 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=473.4958677685951 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,524.5450139214288 768.8525896910284,524.5450139214288"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,practice_get_response,True,yhHDMorbvTEWkI34,66.50413223140494,2.15,True,True,True,123.8,4.0,444.12,,,,,,,,23
23,html-keyboard-response,23,281176,0.0-23.0,10047.899999976158,arrowdown,,"<div> 
<h2 class=""bolded-blue"">Well done!</h2>
<p> Now that you have the hang of it, we&#39;ll start the study. This session has 25 trials and takes about 2 minute to complete. </p> 
<p>If you are ready for the real deal, please press the <b>down</b> arrow to continue.
</p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
24,html-keyboard-response,24,293561,0.0-24.0,12383.599999904633,arrowdown,,"<div id=""continue""> 
<p>Again, please keep the <b>full screen</b> mode for the best experience.</p>
<p>Please do not move around and keep your eye on the black dot. Click <b>up</b> or <b>down</b> key on your keyboard to indicate the opening of the center circle. Make your best guess!</p>
<p>Please press the <b>down</b> arrow key to start the session 1. </p>
</div>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
25,html-keyboard-response,25,294072,0.0-25.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=839.704132231405 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=606.5041322314049 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=706.6958677685951 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=473.4958677685951 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,555.4549860785712 768.8525896910284,555.4549860785712"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
26,html-keyboard-response,26,294226,0.0-26.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=773.2 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=853.6700000000001 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=620.47 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=692.73 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=459.53 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,555.4549860785712 768.8525896910284,555.4549860785712"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,23
27,html-keyboard-response,27,294537,0.0-27.0,310.0,arrowdown,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=853.6700000000001 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=692.73 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,555.4549860785712 768.8525896910284,555.4549860785712"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,get_response,True,yhHDMorbvTEWkI34,,,True,False,True,123.8,4.0,444.12,80.47,2.6,1.0,0.0,,,,23
28,html-keyboard-response,28,295046,0.0-28.0,,,,"
    <div style="" display: block;  position: relative;"">
    
    <svg width=1920 height=1080>
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=853.6700000000001 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=620.47 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=692.73 cy=540 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=459.53 r=15.454986078571258 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,555.4549860785712 768.8525896910284,555.4549860785712"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
29,html-keyboard-response,29,295202,0.0-29.0,,,,"
    <div style="" display: block;  position: relative;"">
    <svg width=1920 height=1080>
    
    <circle cx=897 cy=540 r=10.81849025499988 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=773.2 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=853.6700000000001 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=620.47 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=692.73 cy=540 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=773.2 cy=459.53 r=15.454986078571258 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""773.2,540 777.5474103089717,555.4549860785712 768.8525896910284,555.4549860785712"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ",,,,,,,,,,,,stimulus,,,,,,,,,,,,,,,,,,23
