"trial_type","trial_index","time_elapsed","internal_node_id","success","rt","response","stimulus","start_time","start_time_unix","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","win_width_deg","win_height_deg","trialType","correct","participantID","criticalSpacing","criticalSpacing_deg","isLeft","isUp","isEccen4","eccentricity","eccentricity_deg","viewingDistanceMean","critical_spacing","critical_spacing_deg","crowding_session","correctRate","viewDistance_1","viewDistance_2","viewDistance_3"
"pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","2622","0.0-1.0","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","2","7346","0.0-2.0","","4720.5999999940395","{""Q0"":""pilotA""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","3","9369","0.0-3.0","","2021.5","arrowdown","<h1>Welcome to the Visual Crowding Experiment!</h1>
       <p>This test will take <b>10-12</b> minutes to complete.</p>
       <p>Press any key to start the experiment!</p>","11/16/2021, 9:17:59 PM","1637126279757","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","4","10243","0.0-4.0","","872.9000000059605","arrowdown","<div> 
<p> Before you begin this study, let&#39;s quickly test how far away you are sitting. You might know that vision tests at a doctor&#39;s practice often involve chinrests, the doctor basically asks you to sit away from a screen in a specific distance. We do this here with a <b>virtual chinrest</b>. </p>
<p> Please press the <b>down</b> arrow to continue.
</p>
</div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"virtual-chinrest","5","53522","0.0-5.0","","43278.70000001788","","","","","85.6","53.98","466","5.44","459.74","10.637366750080204","43.80783430227095","32.87083287578432","20.5442705473652","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","6","56425","0.0-6.0","","2899.100000023842","arrowdown","
	<h2 class=""bolded-blue"">Now, you will take a peripheral vision test!</h2>
<p> 
	<b>
		<font size=""140%"">1. </font>
	</b>
	<em><b>Please use both eyes for the following task.</b></em> First, you will see a screen (like the one in the image below) showing a <b>black dot</b> in the middle of the screen, with a group of circles displayed on either the <span class=""bolded-blue"">left</span> or <span class=""bolded-blue"">right</span> of the black dot for 150 ms. <span class=""bolded-blue"">Please make sure to focus on the black dot all the time!</span>

	<div>
		<img src=""example.png"" alt=""example"" style=""border: 2px solid black"" width=""600""/> 
	</div>
	
	<b>
		<font size=""140%"">2. </font>
	</b>
	Your task is to identify whether the opening of the <b class=""bolded-blue"">center circle</b> is upward by pressing UP or downward by pressing DOWN on your keyboard. The opening of the circle will only be upward or downward, not towards left or right.

	<div>
		<img src=""arrow_keys+.png"" alt=""arrows"" style=""border: 2px solid black"" width=""600""/>
	</div>
	<br>

<p>Please press the <b>down</b> arrow key to start the <span class=""bolded-blue"">practice task</span> (this first practice task will not count toward your final results).</p>
</p>
","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","56930","0.0-7.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=NaN cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=NaN r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=NaN cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=NaN r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""475.32,450 481.6999700902668,472.6807091852568 468.9400299097332,472.6807091852568"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","57086","0.0-8.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=475.32 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=593.412 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=568.092 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=357.22799999999995 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=331.908 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""475.32,450 481.6999700902668,427.3192908147432 468.9400299097332,427.3192908147432"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","57934","0.0-9.0","","845.5","arrowup","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=593.412 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=568.092 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=357.22799999999995 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=331.908 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""475.32,450 481.6999700902668,427.3192908147432 468.9400299097332,427.3192908147432"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","A47meOKIDYgLnxpl","118.09200000000001","2.6","true","true","true","181.68","4","479.23600000000005","","","","","","",""
"html-keyboard-response","10","58439","0.0-10.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=593.412 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=568.092 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=357.22799999999995 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=475.32 cy=331.908 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""475.32,450 481.6999700902668,427.3192908147432 468.9400299097332,427.3192908147432"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","58595","0.0-11.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=838.6800000000001 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=956.772 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=568.092 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=720.5880000000001 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=331.908 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""838.6800000000001,450 845.0599700902669,472.6807091852568 832.3000299097332,472.6807091852568"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","58772","0.0-12.0","","175.40000000596046","arrowdown","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=956.772 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=568.092 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=720.5880000000001 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=331.908 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""838.6800000000001,450 845.0599700902669,472.6807091852568 832.3000299097332,472.6807091852568"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","practice_get_response","true","A47meOKIDYgLnxpl","118.09200000000001","2.6","false","false","true","181.68","4","479.23600000000005","","","","","","",""
"html-keyboard-response","13","59277","0.0-13.0","","null","null","
    <div style="" display: block;  position: relative;"">
    
    <svg width=1440 height=900>
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=956.772 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=568.092 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=720.5880000000001 cy=450 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=331.908 r=22.680709185256777 stroke=""none"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""838.6800000000001,450 845.0599700902669,472.6807091852568 832.3000299097332,472.6807091852568"" stroke=""none"" stroke-width=""3"" fill = ""none"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","59432","0.0-14.0","","null","null","
    <div style="" display: block;  position: relative;"">
    <svg width=1440 height=900>
    
    <circle cx=657 cy=450 r=15.876496429679744 stroke=""black"" stroke-width=""1"" fill=""black"" />
    <circle cx=838.6800000000001 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=956.772 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=568.092 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=720.5880000000001 cy=450 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <circle cx=838.6800000000001 cy=331.908 r=22.680709185256777 stroke=""black"" stroke-width=""1.5"" fill=""none"" />
    <polygon points = ""838.6800000000001,450 845.0599700902669,427.3192908147432 832.3000299097332,427.3192908147432"" stroke=""white"" stroke-width=""3"" fill = ""white"" />
    
    </svg>
    </div>
        ","","","","","","","","","","","","stimulus","","","","","","","","","","","","","","","","",""
